movie_title,review_content,genres
Percy Jackson & the Olympians: The Lightning Thief,A fantasy adventure that fuses Greek mythology to contemporary American places and values. Anyone around 15 (give or take a couple of years) will thrill to the visual spectacle,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"Uma Thurman as Medusa, the gorgon with a coiffure of writhing snakes and stone-inducing hypnotic gaze is one of the highlights of this bewitching fantasy","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"With a top-notch cast and dazzling special effects, this will tide the teens over until the next Harry Potter instalment.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"What's really lacking in The Lightning Thief is a genuine sense of wonder, the same thing that brings viewers back to Hogwarts over and over again.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,It's more a list of ingredients than a movie-magic potion to enjoy from start to finish.,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,Harry Potter knockoffs don't come more transparent and slapdash than this wannabe-franchise jumpstarter directed by Chris Columbus.,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"Fun, brisk and imaginative","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"This action-packed fantasy adventure, based on Rick Riordan's hit Percy Jackson and the Olympians series of books, is great fun, and deserves to find an audience with teens now bereft of any Harry Potter magic.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"For what it is and for whom it is intended, it's not a bad movie, just an indifferent one.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
Percy Jackson & the Olympians: The Lightning Thief,"Chris Columbus returns to his comfort zone for this mirthless, episodic fantasy saga based on the young-reader book series by Rick Riordan.","Action & Adventure, Comedy, Drama, Science Fiction & Fantasy"
